ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
15.0,1223.62,446.61,74.5,49.73,96.51,72.89,413.5,1083.15,1791.64,4039.99,3509.91,3167.58
16.0,2037.81,846.2,116.06,91.17,178.51,130.97,609.37,768.47,1933.46,3436.36,2816.84,2886.63
16.0,1339.6,615.23,92.53,69.62,111.89,86.55,572.37,1009.04,2269.14,4134.88,3234.96,3413.5
16.0,1454.42,498.73,79.2,56.36,118.72,80.86,718.18,1330.57,3168.02,5522.25,4504.48,4433.81
16.0,1590.12,545.74,88.61,63.82,128.12,85.42,651.81,1079.73,3676.12,6093.37,5067.66,5112.69
16.0,1481.1,507.92,79.2,58.02,119.57,80.86,566.93,1565.44,4434.2,7479.86,5748.41,5333.95
16.0,1390.63,485.44,77.63,56.36,110.18,74.03,810.68,1778.65,4769.88,7720.61,6027.15,5969.05
16.0,1297.84,437.41,70.58,50.56,106.76,71.75,1019.6,1601.92,5467.76,8588.71,6805.55,5748.6
16.0,1185.34,395.51,62.74,44.76,95.66,67.19,492.93,1243.91,4573.98,7228.57,5120.76,4337.51
16.0,1138.95,394.48,62.74,44.76,93.1,66.05,432.0,1501.59,3959.76,6438.67,3601.88,3368.14
16.0,1100.67,396.53,61.17,43.93,93.1,67.19,464.64,1019.3,2618.08,3562.89,3075.68,2343.85
17.0,1310.6,666.33,98.81,74.59,118.72,93.39,644.19,830.04,2399.73,3841.41,2718.24,2521.33
17.0,1810.49,750.13,107.43,81.22,149.47,113.89,722.54,835.74,1787.56,3068.21,2608.26,2683.69
17.0,1693.35,641.8,100.38,75.42,134.09,92.25,857.47,810.65,2553.8,4288.64,4073.09,3949.13
17.0,1585.48,573.33,90.18,67.13,127.26,86.55,625.69,1092.27,3106.8,5493.26,4534.82,4840.5
17.0,1571.56,538.58,86.26,64.65,124.7,84.28,643.1,1234.79,3487.37,5748.94,5142.56,4526.13
17.0,1287.41,469.09,76.07,55.53,100.78,69.47,779.12,1140.16,3743.46,6253.28,5585.33,5603.75
17.0,1275.81,436.39,71.36,51.39,99.93,64.92,667.04,1477.65,4734.17,8167.84,6287.88,6145.74
17.0,1134.31,342.36,58.81,40.61,87.97,58.08,668.13,1525.53,3340.45,6357.84,4515.86,5004.46
17.0,1174.9,342.36,58.81,39.78,93.95,61.5,464.64,954.31,2877.23,5359.7,4594.55,4345.47
17.0,1133.15,318.86,57.25,38.12,88.83,60.36,374.33,996.5,3179.24,5531.92,3884.42,3021.14
18.0,1938.07,782.84,116.06,87.02,163.99,125.28,723.62,712.6,1813.06,2975.08,2527.67,1854.39
18.0,1549.53,597.86,110.57,82.05,128.12,96.8,661.6,980.54,2424.22,4021.54,3280.47,2344.64
18.0,1447.46,497.7,91.75,67.96,120.43,84.28,797.62,1207.43,3742.44,5836.81,4774.69,3445.34
18.0,1141.27,404.7,80.77,58.84,99.93,63.78,1274.23,2388.63,5899.34,9306.56,7428.46,6016.81
18.0,851.31,282.07,71.36,50.56,74.31,46.69,794.35,1365.91,5460.62,8862.84,7973.63,7334.77
18.0,742.29,176.8,66.66,47.24,70.89,41.0,799.79,1768.39,5232.07,9501.61,8633.51,8296.19
18.0,731.85,142.06,63.52,43.1,67.47,39.86,476.61,1774.09,2925.19,5504.68,3374.33,4220.52
18.0,726.05,178.85,59.6,41.44,68.33,43.28,438.53,1258.74,3877.12,6753.23,5101.79,4315.23
18.0,707.49,167.6,61.17,42.27,68.33,44.42,362.36,1354.51,3211.89,5220.0,3722.29,3002.83
18.0,795.64,146.14,61.95,43.1,74.31,45.56,392.82,923.53,2620.12,4570.69,3272.88,2463.23
19.0,1463.7,436.39,83.91,60.5,122.14,83.14,1132.77,2179.98,4711.72,6622.31,4233.32,3391.22
19.0,1699.14,547.78,88.61,66.3,140.07,96.8,909.7,1866.44,4597.45,6414.07,4763.32,3943.56
19.0,1549.53,485.44,83.12,59.67,120.43,89.97,736.68,1917.75,4808.65,6778.71,4695.05,3751.75
19.0,1210.86,460.91,72.93,52.21,100.78,72.89,1002.19,2510.63,5046.38,7350.7,5299.0,4284.19
19.0,1474.14,459.89,74.5,53.87,117.01,77.44,702.95,1755.85,4737.23,6754.11,4785.12,3449.32
19.0,1641.15,524.28,78.42,60.5,134.95,88.83,497.29,1528.95,4312.79,6038.01,4250.39,2850.82
19.0,1518.21,454.78,72.93,53.04,121.28,79.72,557.14,1385.29,4452.57,6434.28,4542.41,3212.94
19.0,1563.44,450.69,73.71,53.04,126.41,83.14,648.54,1217.69,3758.77,5293.81,3627.48,2700.4
19.0,1597.08,447.63,74.5,53.04,130.68,86.55,375.41,1150.42,3726.12,5556.52,3767.8,2765.66
19.0,1659.71,495.66,78.42,57.19,136.66,93.39,995.66,1733.04,4361.76,6489.64,4045.6,3214.53
20.0,584.55,115.48,84.69,55.53,55.52,29.61,781.3,1230.23,2863.97,3668.32,2205.31,1401.53
20.0,658.78,136.95,85.48,55.53,58.93,33.03,764.97,1490.19,3071.09,3939.82,2264.09,1315.58
20.0,693.58,171.69,82.34,51.39,61.5,34.17,623.51,1710.24,3516.96,4351.9,2249.87,1222.46
20.0,628.63,146.14,74.5,46.41,56.37,30.75,979.34,2189.11,3382.28,4747.29,2384.5,1796.29
20.0,603.11,119.57,67.44,42.27,54.66,29.61,571.28,1494.75,3514.92,4155.09,2137.99,966.19
20.0,592.67,113.44,60.38,38.12,54.66,30.75,380.85,1216.55,2837.44,3244.82,1499.91,564.27
20.0,691.26,128.77,60.38,38.12,60.64,34.17,247.01,823.2,2304.85,2552.45,1082.74,360.53
20.0,659.94,119.57,61.17,38.12,59.79,33.03,193.69,685.24,2252.81,2430.32,1061.89,321.53
20.0,685.46,116.51,65.09,41.44,67.47,39.86,171.93,581.48,2224.24,2291.49,1071.37,399.53
20.0,688.94,146.14,74.5,49.73,70.89,43.28,210.01,616.83,2350.76,2561.24,1165.23,446.49
21.0,574.11,111.4,83.12,53.87,54.66,28.47,738.86,1189.19,2929.27,3677.99,2275.47,1434.16
21.0,662.26,129.79,83.12,53.87,58.08,33.03,747.56,1481.07,3061.9,3945.09,2281.16,1317.97
21.0,688.94,165.56,81.56,51.39,60.64,34.17,626.78,1749.0,3553.69,4409.89,2267.89,1250.32
21.0,621.67,143.08,73.71,45.58,55.52,29.61,920.58,2080.79,3411.87,4696.33,2423.38,1757.29
21.0,598.47,116.51,66.66,42.27,53.81,29.61,523.4,1429.76,3487.37,4062.83,2073.52,904.11
21.0,597.31,112.42,59.6,38.12,53.81,30.75,359.09,1190.33,2796.63,3195.61,1448.72,526.87
21.0,698.21,126.73,60.38,38.12,60.64,34.17,237.22,777.59,2256.89,2462.83,1061.89,347.0
21.0,663.42,116.51,61.17,38.12,59.79,33.03,189.34,660.15,2246.69,2398.69,1058.09,318.35
21.0,690.1,117.53,66.66,42.27,68.33,39.86,169.75,574.64,2246.69,2305.55,1077.06,400.32
