ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
16.0,5357.23,1371.5,387.39,204.71,309.19,167.42,497.29,279.34,1086.61,1300.39,2106.71,1253.5
16.0,3466.72,916.72,315.24,156.64,187.05,93.39,1003.28,469.75,1346.79,1693.14,2792.19,1805.04
16.0,3021.35,825.76,249.37,130.12,179.36,101.36,471.17,190.41,772.36,1144.87,1984.4,1619.6
16.0,3776.39,804.3,236.04,125.98,217.8,102.5,723.62,285.04,1034.58,1254.7,1873.47,1416.66
17.0,2202.51,654.07,192.91,100.28,130.68,71.75,461.38,440.1,428.52,885.67,956.65,1349.8
17.0,2085.37,700.06,199.18,102.77,124.7,72.89,372.15,372.83,382.61,830.31,988.88,1349.8
17.0,1897.47,602.97,183.5,94.48,111.89,59.22,418.94,445.8,478.52,985.83,1166.18,1502.61
17.0,2022.74,523.25,176.44,89.51,117.87,59.22,403.71,355.73,514.23,957.72,1140.58,1367.31
17.0,1899.79,527.34,159.98,82.88,117.01,67.19,388.47,375.11,423.42,828.56,1093.17,1376.86
17.0,2312.69,675.53,190.56,100.28,146.91,87.69,381.94,360.29,439.75,842.62,994.57,1121.39
17.0,2937.84,901.39,240.75,127.63,185.34,109.33,442.88,373.97,448.93,729.27,804.95,811.0
17.0,3020.19,1052.64,254.08,145.04,212.67,132.11,502.73,351.17,533.61,802.2,1166.18,1087.96
17.0,2259.34,932.05,207.03,125.98,168.26,113.89,497.29,253.12,615.24,880.4,1373.81,1099.9
17.0,1765.25,970.88,187.42,121.83,150.32,105.92,368.88,210.93,584.63,860.19,1272.37,1025.09
18.0,3460.92,1112.94,263.49,151.67,228.05,144.64,576.72,290.74,720.33,1020.98,1913.29,1366.52
18.0,3423.8,1204.91,283.09,156.64,209.26,128.69,398.27,190.41,657.07,905.88,1858.3,1321.15
18.0,2882.17,986.21,262.7,140.9,172.53,102.5,461.38,264.52,741.75,984.96,1797.62,1429.39
18.0,3089.77,847.22,237.61,124.32,176.8,95.67,622.43,367.13,627.48,1013.07,1809.0,1628.36
